model,Test MAE,Test MSE,Test RMSE,Train MAE,Train MSE,Train RMSE
LightGBM,0.64,0.66,0.81,0.39,0.25,0.5
SVR,0.66,0.76,0.87,0.05,0.0,0.05
XGBoost,0.72,0.78,0.88,0.0,0.0,0.0
KNN,0.74,0.9,0.95,0.0,0.0,0.0
Random Forest,0.76,0.89,0.94,0.24,0.11,0.33
ARIMA,0.83,0.97,0.99,0.8,1.06,1.03
Markov Chain,1.04,1.62,1.27,1.14,2.06,1.43
