sitename,monitordate,itemengname,concentration
陽明,2025-08-01 11:00,NO2,
陽明,2025-08-01 11:00,NO,
陽明,2025-08-01 11:00,NOx,
陽明,2025-08-01 11:00,PM10,
陽明,2025-08-01 11:00,O3,
陽明,2025-08-01 11:00,CO,
陽明,2025-08-01 11:00,SO2,
大同,2025-08-01 11:00,WD_HR,
大同,2025-08-01 11:00,WS_HR,
大同,2025-08-01 11:00,RH,60.0
大同,2025-08-01 11:00,PM2.5,13.0
大同,2025-08-01 11:00,CH4,2.06
大同,2025-08-01 11:00,RAINFALL,0.0
大同,2025-08-01 11:00,AMB_TEMP,
大同,2025-08-01 11:00,WIND_DIREC,
大同,2025-08-01 11:00,WIND_SPEED,
大同,2025-08-01 11:00,NMHC,0.22
大同,2025-08-01 11:00,THC,2.29
大同,2025-08-01 11:00,NO2,26.0
大同,2025-08-01 11:00,NO,17.4
大同,2025-08-01 11:00,NOx,44.2
大同,2025-08-01 11:00,PM10,24.0
大同,2025-08-01 11:00,O3,30.0
大同,2025-08-01 11:00,CO,0.62
大同,2025-08-01 11:00,SO2,1.4
松山,2025-08-01 11:00,WD_HR,53.0
松山,2025-08-01 11:00,WS_HR,1.9
松山,2025-08-01 11:00,RH,64.0
松山,2025-08-01 11:00,PM2.5,10.0
松山,2025-08-01 11:00,CH4,1.96
松山,2025-08-01 11:00,RAINFALL,0.0
松山,2025-08-01 11:00,AMB_TEMP,33.5
松山,2025-08-01 11:00,WIND_DIREC,38.0
松山,2025-08-01 11:00,WIND_SPEED,2.3
松山,2025-08-01 11:00,NMHC,0.13
松山,2025-08-01 11:00,THC,2.09
松山,2025-08-01 11:00,NO2,
松山,2025-08-01 11:00,NO,
松山,2025-08-01 11:00,NOx,
松山,2025-08-01 11:00,PM10,16.0
松山,2025-08-01 11:00,O3,34.0
松山,2025-08-01 11:00,CO,0.16
松山,2025-08-01 11:00,SO2,3.5
古亭,2025-08-01 11:00,WD_HR,76.0
古亭,2025-08-01 11:00,WS_HR,1.0
古亭,2025-08-01 11:00,RH,65.0
古亭,2025-08-01 11:00,PM2.5,13.0
古亭,2025-08-01 11:00,CH4,2.0
古亭,2025-08-01 11:00,RAINFALL,0.0
古亭,2025-08-01 11:00,AMB_TEMP,34.0
古亭,2025-08-01 11:00,WIND_DIREC,99.0
古亭,2025-08-01 11:00,WIND_SPEED,1.8
古亭,2025-08-01 11:00,NMHC,0.11
古亭,2025-08-01 11:00,THC,2.11
古亭,2025-08-01 11:00,NO2,13.0
古亭,2025-08-01 11:00,NO,2.2
古亭,2025-08-01 11:00,NOx,15.9
古亭,2025-08-01 11:00,PM10,29.0
古亭,2025-08-01 11:00,O3,54.0
古亭,2025-08-01 11:00,CO,0.3
古亭,2025-08-01 11:00,SO2,2.1
萬華,2025-08-01 11:00,WD_HR,92.0
萬華,2025-08-01 11:00,WS_HR,1.1
萬華,2025-08-01 11:00,RH,56.0
萬華,2025-08-01 11:00,PM2.5,9.0
萬華,2025-08-01 11:00,CH4,2.09
萬華,2025-08-01 11:00,RAINFALL,0.0
萬華,2025-08-01 11:00,AMB_TEMP,34.7
萬華,2025-08-01 11:00,WIND_DIREC,100.0
萬華,2025-08-01 11:00,WIND_SPEED,2.3
萬華,2025-08-01 11:00,NMHC,0.09
萬華,2025-08-01 11:00,THC,2.18
萬華,2025-08-01 11:00,NO2,17.0
萬華,2025-08-01 11:00,NO,2.5
萬華,2025-08-01 11:00,NOx,20.2
萬華,2025-08-01 11:00,PM10,23.0
萬華,2025-08-01 11:00,O3,47.0
萬華,2025-08-01 11:00,CO,0.33
萬華,2025-08-01 11:00,SO2,2.2
中山,2025-08-01 11:00,WD_HR,110.0
中山,2025-08-01 11:00,WS_HR,1.4
中山,2025-08-01 11:00,RH,55.0
中山,2025-08-01 11:00,PM2.5,9.0
中山,2025-08-01 11:00,CH4,1.95
中山,2025-08-01 11:00,RAINFALL,0.0
中山,2025-08-01 11:00,AMB_TEMP,33.7
中山,2025-08-01 11:00,WIND_DIREC,120.0
中山,2025-08-01 11:00,WIND_SPEED,2.1
中山,2025-08-01 11:00,NMHC,0.07
中山,2025-08-01 11:00,THC,2.02
中山,2025-08-01 11:00,NO2,11.0
中山,2025-08-01 11:00,NO,3.1
中山,2025-08-01 11:00,NOx,14.1
中山,2025-08-01 11:00,PM10,20.0
中山,2025-08-01 11:00,O3,38.0
中山,2025-08-01 11:00,CO,0.28
中山,2025-08-01 11:00,SO2,1.2
士林,2025-08-01 11:00,WD_HR,147.0
士林,2025-08-01 11:00,WS_HR,1.5
士林,2025-08-01 11:00,RH,66.0
士林,2025-08-01 11:00,PM2.5,12.0
士林,2025-08-01 11:00,RAINFALL,0.0
士林,2025-08-01 11:00,AMB_TEMP,33.8
士林,2025-08-01 11:00,WIND_DIREC,142.0
士林,2025-08-01 11:00,WIND_SPEED,1.8
士林,2025-08-01 11:00,NO2,7.0
士林,2025-08-01 11:00,NO,1.9
士林,2025-08-01 11:00,NOx,9.0
士林,2025-08-01 11:00,PM10,19.0
士林,2025-08-01 11:00,O3,51.0
士林,2025-08-01 11:00,CO,0.22
