sitename,monitordate,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,datetime,pm2.5_lag1,hour,dayofweek
中山,2025-07-31 13:00:00,0.8156321260841597,-0.3086017895188309,-0.1121905042273695,-0.0576919663207357,-0.1176339434988325,0.2395909181294645,0.032048183108601,0.0614664237071372,-0.247636515962204,4.0,0.0,-1.6507889674074974,-0.9002881383137697,-0.1456254303622478,1.1887554626565495,1.3846732975921,1.3234662689952488,0.8420095064437738,2025-07-31 13:00:00,-0.2625971999655183,-1.414213562373095,0.0
松山,2025-07-31 13:00:00,0.6424092837725968,0.336237770669787,-0.3202258763046111,-0.2999982248678264,-0.3699126213455935,0.0245734275004578,-0.1859098394546349,1.6260662998888191,-0.7382371607929856,6.0,0.0,-0.5435524648780783,1.2003841844183585,-0.0849481677113098,1.252549454059462,1.0904346004058203,0.1936779905846704,0.0508596346174088,2025-07-31 13:00:00,-1.0735591410355012,-1.414213562373095,0.0
陽明,2025-07-31 13:00:00,-2.337023603986286,0.336237770669787,-0.5022568268721974,-0.2999982248678264,-0.4809152395981683,-1.0505140256445755,-0.7972555124978581,0.5504038850139128,-0.247636515962204,3.0,0.0,1.9728941317796924,0.3601152553255073,-0.0849481677113098,1.252549454059462,1.0904346004058203,0.1936779905846704,0.0508596346174088,2025-07-31 13:00:00,-0.5329178469888459,-1.414213562373095,0.0
古亭,2025-07-31 13:00:00,0.7809875576218467,-0.4698116795659854,-0.450247983852887,-0.3807669777168566,-0.4203683569149457,-0.6204790443865623,-0.5314530459573262,1.6260662998888191,0.0794305805916503,5.0,0.0,-0.4428946010117675,1.2003841844183585,-0.4490117436169294,1.099443874692473,1.0781746546897253,1.8076612454569256,0.4464345705305911,2025-07-31 13:00:00,-1.343879788058829,-1.414213562373095,0.0
士林,2025-07-31 13:00:00,0.3652527360740946,-0.4698116795659854,-0.5022568268721974,-0.3807669777168566,-0.4809152395981683,-0.835496535015569,-0.6430900819043496,0.648191377275268,0.4064976771455048,7.0,0.0,0.0603947183197866,-0.4801536737673442,-0.4490117436169294,1.0611674798507258,0.9187953603804904,0.8392712925335726,2.028734314183321,2025-07-31 13:00:00,-0.8032384940121735,-1.414213562373095,0.0
萬華,2025-07-31 13:00:00,0.8156321260841597,1.6259168910470232,-0.3722347193239215,-0.4615357305658869,-0.450641798256557,-0.5129702990720589,-0.4676604539875986,0.2570414082298475,0.570031225422432,4.0,0.0,-0.9461839203433215,0.3601152553255073,0.2791154081943097,1.3291022437429565,1.3846732975921,0.6778729670463469,2.028734314183321,2025-07-31 13:00:00,-0.2625971999655183,-1.414213562373095,0.0
大同,2025-07-31 13:00:00,0.8156321260841597,0.336237770669787,1.0320040421974588,0.7499955621695664,0.6593843842691913,0.669625899387478,0.6593420041442561,-1.111983483429124,1.8782996116378496,9.0,0.0,-0.8455260564770108,1.6205186489647836,0.7038562467508644,1.3291022437429565,1.3846732975921,0.6778729670463469,2.028734314183321,2025-07-31 13:00:00,-1.0735591410355012,-1.414213562373095,0.0
大同,2025-07-31 14:00:00,0.7463429891595336,0.658657550764096,1.9161543735257351,1.638451843508899,1.8501397437059028,1.7447133525325114,1.8129247089301643,-1.7964959292586098,1.8782996116378496,12.0,0.0,-0.8455260564770108,1.2003841844183585,1.4926606612130389,0.8315091108002424,0.2935381288596458,0.1936779905846704,0.4464345705305911,2025-07-31 14:00:00,1.8999679762211024,-0.7071067811865475,0.0
中山,2025-07-31 14:00:00,0.7463429891595336,-0.3086017895188309,-0.2162081902659904,-0.0576919663207357,-0.2488188559791482,-0.0829353178140455,-0.1859098394546349,-0.0363210685542178,-0.4111700642391312,15.0,0.0,-1.5501311035411869,-1.3204226028601955,-0.1456254303622478,0.8315091108002424,0.2935381288596458,0.1936779905846704,0.4464345705305911,2025-07-31 14:00:00,0.8186853881277921,-0.7071067811865475,0.0
陽明,2025-07-31 14:00:00,-1.9559333509008483,-0.953441349707449,-0.5022568268721974,-0.5423044834149171,-0.4809152395981683,-1.1580227709590791,-0.8132036604902899,0.9415538540593332,-0.5747036125160585,11.0,0.0,1.8722362679133815,-0.0600192092209186,-0.813075319522549,-0.98024024504246,-0.6504776912796684,-1.58170358977481,-0.7402902372089556,2025-07-31 14:00:00,0.5483647411044645,-0.7071067811865475,0.0
