sitename,monitordate,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,datetime,pm2.5_lag1,hour,dayofweek
中山,2025-07-31 13:00,0.8156321260841597,-0.30860178951883094,-0.11219050422736955,-0.05769196632073578,-0.11763394349883252,0.2395909181294645,0.03204818310860109,0.06146642370713728,-0.24763651596220404,4.0,0.0,-1.6507889674074974,-0.9002881383137697,-0.14562543036224782,1.1887554626565497,1.3846732975921001,1.3234662689952488,0.8420095064437738,2025-07-31 13:00:00,-0.2625971999655183,-1.414213562373095,0.0
松山,2025-07-31 13:00,0.6424092837725968,0.33623777066978705,-0.3202258763046111,-0.29999822486782646,-0.3699126213455935,0.024573427500457823,-0.18590983945463496,1.6260662998888191,-0.7382371607929856,6.0,0.0,-0.5435524648780783,1.2003841844183585,-0.08494816771130988,1.252549454059462,1.0904346004058203,0.1936779905846704,0.05085963461740889,2025-07-31 13:00:00,-1.0735591410355012,-1.414213562373095,0.0
陽明,2025-07-31 13:00,-2.337023603986286,0.33623777066978705,-0.5022568268721974,-0.29999822486782646,-0.48091523959816834,-1.0505140256445757,-0.7972555124978581,0.5504038850139128,-0.24763651596220404,3.0,0.0,1.9728941317796924,0.36011525532550737,-0.08494816771130988,1.252549454059462,1.0904346004058203,0.1936779905846704,0.05085963461740889,2025-07-31 13:00:00,-0.5329178469888459,-1.414213562373095,0.0
古亭,2025-07-31 13:00,0.7809875576218467,-0.46981167956598546,-0.45024798385288706,-0.38076697771685664,-0.4203683569149457,-0.6204790443865623,-0.5314530459573262,1.6260662998888191,0.07943058059165037,5.0,0.0,-0.4428946010117675,1.2003841844183585,-0.4490117436169294,1.099443874692473,1.0781746546897253,1.8076612454569256,0.44643457053059116,2025-07-31 13:00:00,-1.3438797880588287,-1.414213562373095,0.0
士林,2025-07-31 13:00,0.36525273607409464,-0.46981167956598546,-0.5022568268721974,-0.38076697771685664,-0.48091523959816834,-0.835496535015569,-0.6430900819043496,0.648191377275268,0.4064976771455048,7.0,0.0,0.06039471831978664,-0.48015367376734425,-0.4490117436169294,1.0611674798507258,0.9187953603804904,0.8392712925335726,2.028734314183321,2025-07-31 13:00:00,-0.8032384940121735,-1.414213562373095,0.0
萬華,2025-07-31 13:00,0.8156321260841597,1.6259168910470232,-0.3722347193239215,-0.4615357305658869,-0.450641798256557,-0.5129702990720589,-0.4676604539875986,0.2570414082298475,0.570031225422432,4.0,0.0,-0.9461839203433217,0.36011525532550737,0.2791154081943097,1.3291022437429563,1.3846732975921001,0.6778729670463469,2.028734314183321,2025-07-31 13:00:00,-0.2625971999655183,-1.414213562373095,0.0
大同,2025-07-31 13:00,0.8156321260841597,0.33623777066978705,1.0320040421974588,0.7499955621695664,0.6593843842691913,0.669625899387478,0.6593420041442561,-1.111983483429124,1.8782996116378496,9.0,0.0,-0.8455260564770108,1.6205186489647836,0.7038562467508644,1.3291022437429563,1.3846732975921001,0.6778729670463469,2.028734314183321,2025-07-31 13:00:00,-1.0735591410355012,-1.414213562373095,0.0
松山,2025-07-31 14:00,0.2959635991494709,-0.30860178951883094,-0.42424356234323185,-0.4615357305658869,-0.1882719732959256,0.024573427500457823,-0.07958885283842214,-0.5252585298609934,-1.2288378056237672,6.0,0.0,0.06039471831978664,-0.9002881383137697,-0.4490117436169294,-1.4012805883016795,-1.361554542813178,0.8392712925335726,-0.7402902372089556,2025-07-31 14:00:00,0.27804409408113695,-0.7071067811865475,0.0
士林,2025-07-31 14:00,0.5384755783856575,-0.30860178951883094,-0.5022568268721974,-0.4615357305658869,-0.4203683569149457,-0.6204790443865623,-0.49955674997246247,0.648191377275268,0.8970983219762864,7.0,0.0,-0.140921009412835,-0.9002881383137697,-0.4490117436169294,0.6784035314332534,0.6490765546264006,2.776051198380278,2.6220967180530943,2025-07-31 14:00:00,-0.5329178469888459,-0.7071067811865475,0.0
萬華,2025-07-31 14:00,0.8502766945464704,2.109546561188483,-0.3202258763046111,-0.13846071916976596,-0.4203683569149457,-0.1904440631285489,-0.31881107272490083,0.06146642370713728,0.4064976771455048,5.0,0.0,-0.9461839203433217,-0.06001920922091867,0.7038562467508644,1.0228910850089785,-0.4543185598221486,0.03227966509744513,-0.7402902372089556,2025-07-31 14:00:00,-0.2625971999655183,-0.7071067811865475,0.0
古亭,2025-07-31 14:00,0.2959635991494709,-0.953441349707449,-0.5022568268721974,-0.5423044834149171,-0.38000376845946393,-0.6204790443865623,-0.49955674997246247,0.06146642370713728,0.24296412886857757,10.0,0.0,0.06039471831978664,0.36011525532550737,-0.813075319522549,-0.98024024504246,-1.079575791342993,1.6462629199696999,-0.7402902372089556,2025-07-31 14:00:00,-0.8032384940121735,-0.7071067811865475,0.0
陽明,2025-07-31 14:00,-1.9559333509008483,-0.953441349707449,-0.5022568268721974,-0.5423044834149171,-0.48091523959816834,-1.1580227709590791,-0.8132036604902899,0.9415538540593333,-0.5747036125160585,11.0,0.0,1.8722362679133815,-0.06001920922091867,-0.813075319522549,-0.98024024504246,-0.6504776912796684,-1.58170358977481,-0.7402902372089556,2025-07-31 14:00:00,0.5483647411044645,-0.7071067811865475,0.0
